address_id,address,address2,district,city_id,postal_code,phone,last_update
1,47 MySakila Drive,,Alberta,300,,,25-09-2014
2,28 MySQL Boulevard,,QLD,576,,,25-09-2014
3,23 Workhaven Lane,,Alberta,300,,14033335568,25-09-2014
4,1411 Lillydale Drive,,QLD,576,,6172235589,25-09-2014
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,25-09-2014
6,1121 Loja Avenue,,California,449,17886,838635286649,25-09-2014
7,692 Joliet Street,,Attika,38,83579,448477190408,25-09-2014
8,1566 Inegl Manor,,Mandalay,349,53561,705814003527,25-09-2014
9,53 Idfu Parkway,,Nantou,361,42399,10655648674,25-09-2014
10,1795 Santiago de Compostela Way,,Texas,295,18743,860452626434,25-09-2014
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,716571220373,25-09-2014
12,478 Joliet Way,,Hamilton,200,77948,657282285970,25-09-2014
13,613 Korolev Drive,,Masqat,329,45844,380657522649,25-09-2014
14,1531 Sal Drive,,Esfahan,162,53628,648856936185,25-09-2014
15,1542 Tarlac Parkway,,Kanagawa,440,1027,635297277345,25-09-2014
16,808 Bhopal Manor,,Haryana,582,10672,465887807014,25-09-2014
17,270 Amroha Parkway,,Osmaniye,384,29610,695479687538,25-09-2014
18,770 Bydgoszcz Avenue,,California,120,16266,517338314235,25-09-2014
19,419 Iligan Lane,,Madhya Pradesh,76,72878,990911107354,25-09-2014
20,360 Toulouse Parkway,,England,495,54308,949312333307,25-09-2014
21,270 Toulon Boulevard,,Kalmykia,156,81766,407752414682,25-09-2014
22,320 Brest Avenue,,Kaduna,252,43331,747791594069,25-09-2014
23,1417 Lancaster Avenue,,Northern Cape,267,72192,272572357893,25-09-2014
24,1688 Okara Way,,Nothwest Border Prov,327,21954,144453869132,25-09-2014
25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,892775750063,25-09-2014
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,161968374323,25-09-2014
27,1780 Hino Boulevard,,Liepaja,303,7716,902731229323,25-09-2014
28,96 Tafuna Way,,Córdoba,128,99865,934730187245,25-09-2014
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,196495945706,25-09-2014
